City,Business Type,Company Name,Physical Address,About Section,Website,General Email,General Phone,Personnel 1 Name,Personnel 1 Title,Personnel 1 Email,Personnel 2 Name,Personnel 2 Title,Personnel 2 Email
Tuscaloosa,Engineering,"Burk-Kleinpeter, Inc.","600 Lurleen B Wallace Blvd S #180, Tuscaloosa, AL 35401",A multi-discipline engineering firm serving government and private clients.,http://bkiusa.com/,info@bkiusa.com,(205) 759-3221,,,,,,
Tuscaloosa,Engineering,"McGiffert and Associates, LLC","2814 Stillman Blvd, Tuscaloosa, AL 35401","A civil engineering firm established in 1949, specializing in site design and utilities.",https://www.mcgiffert.com/,info@mcgiffert.com,(205) 759-1521,,,,,,
Tuscaloosa,Engineering,PELA GeoEnvironmental,"2703 39th St, Tuscaloosa, AL 35401",A geology and hydrology consulting firm providing environmental solutions.,https://www.pela.com/,info@pela.com,(205) 752-5543,,,,,,
Tuscaloosa,Engineering,Sentell Engineering,"639 Black Bears Way, Tuscaloosa, AL 35401",A civil engineering and land surveying company serving West Alabama.,http://www.sentell.net/,gsentell@sentell.net,(205) 752-5564,,,,,,
Tuscaloosa,Engineering,"TTL, Inc.","3200 Rice Mine Rd NE, Tuscaloosa, AL 35406",An engineering and consulting firm focused on transportation and water projects.,https://ttlusa.com/,info@ttlusa.com,(205) 345-0816,,,,,,
Tuscaloosa,Engineering,Terracon Consultants,"2147 Riverchase Office Rd, Tuscaloosa, AL 35401",A national engineering consulting firm with a local office for geotechnical services.,https://www.terracon.com/,info@terracon.com,(205) 942-1289,,,,,,
Tuscaloosa,Engineering,Thompson Engineering,"2008 12th St, Tuscaloosa, AL 35401",An employee-owned firm providing engineering and architecture services.,https://www.thompsonengineering.com/,info@thompsonengineering.com,(205) 759-3221,,,,,,
Tuscaloosa,Engineering,Walker Associates,"2890 Rice Mine Rd NE, Tuscaloosa, AL 35406",A civil engineering and surveying firm handling commercial and residential projects.,https://walker-associates.com/,info@walker-associates.com,(205) 561-3778,,,,,,
Tuscaloosa,Food/Entertainment,Chuck's Fish,"508 Greensboro Ave, Tuscaloosa, AL 35401",A popular downtown seafood restaurant known for its fresh Gulf catch and sushi.,https://chucksfish.com/,info@chucksfish.com,(205) 248-9370,,,,,,
Tuscaloosa,Food/Entertainment,DePalma's Italian Cafe,"2300 University Blvd, Tuscaloosa, AL 35401",A long-standing Italian eatery serving pasta and pizza in a casual setting.,https://depalmasitaliancafe.com/,info@depalmasitaliancafe.com,(205) 759-1879,,,,,,
Tuscaloosa,Food/Entertainment,Dreamland BBQ,"5535 15th Ave E, Tuscaloosa, AL 35405",The original location of the famous BBQ chain known for ribs and white bread.,https://dreamlandbbq.com/,info@dreamlandbbq.com,(205) 758-8135,,,,,,
Tuscaloosa,Food/Entertainment,Five,"2324 6th St, Tuscaloosa, AL 35401",A hip restaurant with a simple menu featuring five main entrees and signature cocktails.,https://five-bar.com/,info@five-bar.com,(205) 345-6161,,,,,,
Tuscaloosa,Food/Entertainment,Half Shell Oyster House,"2325 University Blvd, Tuscaloosa, AL 35401",An upscale casual restaurant serving New Orleans-inspired seafood and steaks.,https://halfshelloysterhouse.com/,info@halfshelloysterhouse.com,(205) 860-7221,,,,,,
Tuscaloosa,Food/Entertainment,Nick's in the Sticks,"4018 Culver Rd, Tuscaloosa, AL 35401","A legendary roadhouse known for its steaks and signature ""Nicodemus"" drink.",https://www.nicksinthesticks.com/,info@nicksinthesticks.com,(205) 758-9316,,,,,,
Tuscaloosa,Food/Entertainment,River,"1650 Jack Warner Pkwy, Tuscaloosa, AL 35401",A modern American restaurant located on the banks of the Black Warrior River.,https://rivertuscaloosa.com/,info@rivertuscaloosa.com,(205) 632-3801,,,,,,
Tuscaloosa,Food/Entertainment,The Avenue Pub,"405 23rd Ave, Tuscaloosa, AL 35401",A gastropub offering craft beers and gourmet burgers in a rustic-industrial space.,https://avepub.com/,info@avepub.com,(205) 759-4900,,,,,,
Tuscaloosa,Food/Entertainment,The Lookout Rooftop Bar,"1901 Jack Warner Pkwy, Tuscaloosa, AL 35401",A rooftop bar at Hotel Indigo offering panoramic views of the river and city.,https://lookouttuscaloosa.com/,info@lookouttuscaloosa.com,(205) 469-1660,,,,,,
Tuscaloosa,Food/Entertainment,Urban Cookhouse,"1530 McFarland Blvd N, Tuscaloosa, AL 35406","A fast-casual spot serving farm-to-table sandwiches, salads, and entrees.",https://urbancookhouse.com/,info@urbancookhouse.com,(205) 561-6999,,,,,,
Tuscaloosa,Home Services,Banks Quarles,"5005 Skyland Blvd E, Tuscaloosa, AL 35405","A trusted plumbing, heating, and cooling company serving Tuscaloosa for decades.",https://banksquarles.com/,info@banksquarles.com,(205) 758-3863,,,,,,
Tuscaloosa,Home Services,Bradberry Service Company,"1600 24th Ave, Tuscaloosa, AL 35401",An HVAC contractor providing heating and air conditioning repair services.,https://bradberryservice.com/,info@bradberryservice.com,(205) 361-4420,,,,,,
Tuscaloosa,Home Services,K-&S Plumbing Services,"600 28th Ave, Tuscaloosa, AL 35401",A residential and commercial plumbing service known for reliability.,https://kswplumbing.com/,info@kswplumbing.com,(205) 462-7945,,,,,,
Tuscaloosa,Home Services,McAbee Construction,"5601 Old Montgomery Hwy, Tuscaloosa, AL 35405",A large industrial contractor also offering residential HVAC and plumbing services.,https://mcabeeconstruction.com/,info@mcabeeconstruction.com,(205) 349-2212,,,,,,
Tuscaloosa,Home Services,Premier Service Company,"2200 17th St, Tuscaloosa, AL 35401","A comprehensive home service provider for electrical, HVAC, and plumbing needs.",https://premierservicecompany.com/,info@premierservicecompany.com,(205) 267-3323,,,,,,
Tuscaloosa,Home Services,Terminix,"2301 6th St, Tuscaloosa, AL 35401",A branch of the national pest control service protecting homes from termites.,https://www.terminix.com/,info@terminix.com,(205) 758-0433,,,,,,
Tuscaloosa,Home Services,TruBlue of Tuscaloosa,"2818 10th Ave, Tuscaloosa, AL 35401",A handyman and home maintenance service specializing in senior home safety.,https://trubluehousecare.com/,info@trubluehousecare.com,(205) 632-7570,,,,,,
Tuscaloosa,Home Services,Turner & Son Plumbing,"14736 Highway 69 N, Tuscaloosa, AL 35406",A family-owned plumbing business dealing with repairs and water heaters.,https://turnerandsonplumbing.com/,info@turnerandsonplumbing.com,(205) 333-5161,,,,,,
Tuscaloosa,Home Services,Wayne's Pest Control,"2601 University Blvd E, Tuscaloosa, AL 35404",A regional pest control company offering termite and mosquito solutions.,https://waynesusa.com/,info@waynesusa.com,(205) 556-7818,,,,,,
Tuscaloosa,Home Services,West Alabama Heating & Air,"1301 22nd Ave, Tuscaloosa, AL 35401",An HVAC company providing installation and maintenance for local homes.,https://westalabamaheatingandair.com/,info@westalabamaheatingandair.com,(205) 339-1222,,,,,,
Tuscaloosa,Legal,"Cross & Smith, LLC","907 17th Ave, Tuscaloosa, AL 35401",A personal injury law firm representing victims of accidents and negligence.,https://www.crossandsmith.com/,info@crossandsmith.com,(205) 391-0618,Adam Cross,Attorney,adam.cross@crossandsmith.com,Dell Cross,Attorney,dell.cross@crossandsmith.com
Tuscaloosa,Legal,Drake Law Firm,"1206 13th St, Tuscaloosa, AL 35401",A general practice firm handling personal injury and family law cases.,https://www.drakelawfirm.com/,info@drakelawfirm.com,(205) 759-1998,G. Jackson Drake,Attorney,jackson.drake2325@gmail.com,,,
Tuscaloosa,Legal,Glasscox Law Firm,"600 Lurleen B Wallace Blvd S #180, Tuscaloosa, AL 35401",A criminal defense and personal injury firm serving West Alabama.,https://www.glasscoxlaw.com/,info@glasscoxlaw.com,(205) 345-9537,Stan Glasscox,Attorney,,Elizabeth Glasscox,Attorney,
Tuscaloosa,Legal,"Hays Webb, Attorney at Law","714 Greensboro Ave #410, Tuscaloosa, AL 35401",A solo practitioner focused on criminal defense and family law matters.,https://hayswebb.com/,info@hayswebb.com,(205) 349-1252,Hays Webb,Attorney,hwebb@tuscco.com,Lauren Sommers,Attorney,lsommers@tuscco.com
Tuscaloosa,Legal,Mountain & Mountain,"2117 Jack Warner Pkwy Suite 3, Tuscaloosa, AL 35401",A plaintiff's litigation firm handling serious injury and wrongful death cases.,https://mountainandmountain.com/,info@mountainandmountain.com,(205) 345-5200,V. Edward Mountain,Attorney,,Lana Mountain,Attorney,
Tuscaloosa,Legal,"Phelps, Jenkins, Gibson & Fowler, L.L.P.","1201 Greensboro Ave, Tuscaloosa, AL 35401",One of the oldest and largest full-service law firms in Tuscaloosa.,https://pjgf.com/,info@pjgf.com,(205) 345-5100,Claude Neilson,Partner,,William J. Donald,Partner,
Tuscaloosa,Legal,Prince Glover & Hayes,"701 Rice Mine Rd N, Tuscaloosa, AL 35406",A prominent personal injury firm known for handling complex litigation.,https://www.princelaw.net/,info@princelaw.net,(205) 345-1234,Josh Hayes,Partner,jhayes@princelaw.net,Coe Baxter,Partner,cbaxter@princelaw.net
Tuscaloosa,Legal,"Rosen Harwood, P.A.","2200 Jack Warner Pkwy Suite 200, Tuscaloosa, AL 35401","A comprehensive law firm offering business, real estate, and litigation services.",https://www.rosenharwood.com/,info@rosenharwood.com,(205) 344-5000,Foster C. Arnold,Shareholder,farnold@rosenharwood.com,Lori C. Baird,Shareholder,lbaird@rosenharwood.com
Tuscaloosa,Legal,"Spruell & Powell, LLC","2111 7th St, Tuscaloosa, AL 35401",A law firm specializing in real estate closings and business law.,http://www.tuscaloosalaw.net/,info@tuscaloosalaw.net,(205) 345-8755,Joseph E. Powell,Partner,,Billy C. Spruell,Partner,
Tuscaloosa,Legal,Turner Law Group,"2120 7th St, Tuscaloosa, AL 35401",A dedicated criminal defense and family law practice.,https://www.turnerlawgroup.net/,info@turnerlawgroup.net,(205) 247-5011,John Turner,Attorney,,Joseph Turner,Attorney,
Tuscaloosa,Medical,Alabama Dermatology Associates,"1781 Commons North Loop, Tuscaloosa, AL 35406",A dermatology clinic providing medical and surgical skin care.,https://www.alabamaderm.com/,info@alabamaderm.com,(205) 544-2300,Dr. Catherine Lucas,Dermatologist,,Dr. Charles Gambla,Dermatologist,
Tuscaloosa,Medical,Alabama ENT Specialists,"1710 Commons North Loop, Tuscaloosa, AL 35406","An ear, nose, and throat clinic offering audiology and allergy services.",https://www.alabamaentspecialists.com/,info@alabamaentspecialists.com,(205) 722-6822,Dr. Gordon Shields,Otolaryngologist,,Dr. Craig M. Benoit,Otolaryngologist,
Tuscaloosa,Medical,Crimson Care,"1120 Veterans Memorial Pkwy, Tuscaloosa, AL 35404",A primary and urgent care network serving the Tuscaloosa community.,https://www.crimsoncare.com/,info@crimsoncare.com,(205) 507-1100,Dr. Srilata Anne,Medical Director,,Dr. Sasank Meka,Physician,
Tuscaloosa,Medical,DCH Regional Medical Center,"809 University Blvd E, Tuscaloosa, AL 35401","The main hospital of the DCH Health System, providing trauma and acute care.",https://www.dchsystem.com/,info@dchsystem.com,(205) 759-7111,Dr. Charles Nolen,Physician,,Dr. Martha Christian,Physician,
Tuscaloosa,Medical,Dermatology Care of Alabama,"4960 Rice Mine Rd NE Suite 40, Tuscaloosa, AL 35406",A dermatology practice offering cosmetic and medical skin treatments.,https://www.dermcarealabama.com/,info@dermcarealabama.com,(205) 759-1519,Dr. Robert Bentley,Dermatologist,,Dr. Paul Espy,Dermatologist,
Tuscaloosa,Medical,Tuscaloosa Internal Medicine,"1300 McFarland Blvd NE Suite 300, Tuscaloosa, AL 35406",An internal medicine group focused on adult health and chronic disease management.,https://tuskaloosainternalmed.com/,info@tuskaloosainternalmed.com,(205) 345-3881,Dr. John P. Summerford,Physician,,Dr. Ross B. Vaughn,Physician,
Tuscaloosa,Medical,Tuscaloosa Surgical Center,"1400 McFarland Blvd N, Tuscaloosa, AL 35406",A multi-specialty outpatient surgery center serving West Alabama.,https://tuscaloosasurgicalcenter.net/,info@tuscaloosasurgicalcenter.net,(205) 345-5500,Dr. Timothy Bassett,Surgeon,,Dr. Bryan King,Surgeon,
Tuscaloosa,Medical,University Medical Center,"850 5th Ave E, Tuscaloosa, AL 35401",A large multi-specialty academic medical center operated by UA.,https://umc.ua.edu/,info@umc.ua.edu,(205) 348-1770,Dr. Richard Giovane,Physician,,Dr. Jane Weida,Physician,
Tuscaloosa,Medical,University Orthopaedic Clinic,"1781 Commons North Loop, Tuscaloosa, AL 35406",A specialized clinic for orthopedic surgery and sports medicine.,https://uoc.ua.edu/,info@uoc.ua.edu,(205) 345-0192,"Dr. Leroy S. Atkins, Jr.",Orthopedic Surgeon,,Dr. Brian S. Claytor,Orthopedic Surgeon,
Tuscaloosa,Medical,West Alabama Family Practice,"100 Rice Mine Rd Loop # 206, Tuscaloosa, AL 35406",A family medicine practice offering comprehensive care for all ages.,https://www.wafpsm.com/,info@wafpsm.com,(205) 349-2323,Dr. Craig Buettner,Physician,,Dr. Jeff Laubenthal,Physician,
